Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,sentiment_score,tweet_count,rsi,adx,sms_3,ADX,ATR
2021-09-30,260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,258.49334716796875,53868000,TSLA,0.13776846190075356,90.0,,,,,
2021-10-01,259.4666748046875,260.260009765625,254.52999877929688,258.4066772460937,258.4066772460937,51094200,TSLA,0.12417933410536469,94.0,,,,,
2021-10-04,265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900,TSLA,0.09713516972445543,119.0,,,259.1366780598958,,
2021-10-05,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,TSLA,0.10685283844942935,88.0,84.0204803120794,,259.70444742838544,,8.005544026692727
2021-10-06,258.7333374023437,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,TSLA,0.1648366525449859,78.0,88.83660720748986,,260.5411071777344,,6.830366346571193
2021-10-07,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,TSLA,0.13713690169410722,137.0,96.58927174004211,40.1883386865068,261.8833312988281,40.1883386865068,7.025806568287045
2021-10-08,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,TSLA,0.12631749017122282,90.0,54.29762243234667,43.61390734681876,262.4277750651042,43.61390734681876,6.402753288363239
2021-10-11,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,TSLA,0.11952436624814591,95.0,69.96623991850568,49.85476566710401,263.4488932291667,49.85476566710401,6.01850219224216
2021-10-12,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,TSLA,0.11338882142388637,115.0,85.68913643385864,59.67016644015987,264.79444376627606,59.67016644015987,6.2767797818072735
2021-10-13,270.1566772460937,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,TSLA,0.10785107851918196,87.0,89.03752373841323,67.30768597224439,267.6377766927083,67.30768597224439,5.261190183314224
2021-10-14,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,TSLA,0.10163569102237327,107.0,92.56312904997057,73.97507110976606,270.5688883463542,73.97507110976606,4.5263505030688576
2021-10-15,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,TSLA,0.104646174183146,142.0,97.18985645447428,81.20696374924471,274.7144470214844,81.20696374924471,5.783120794363614
2021-10-18,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,TSLA,0.13320404414154413,148.0,98.61070168572526,86.8648525936561,281.2733459472656,86.8648525936561,7.436519413039285
2021-10-19,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,TSLA,0.09753234674551639,112.0,84.7491168000732,90.67803204336911,286.37889607747394,90.67803204336911,6.673235435515774
2021-10-20,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,TSLA,0.11084141953193677,174.0,85.547490105235,82.45281074101214,288.9088948567708,82.45281074101214,5.794374160786558
2021-10-21,285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500,TSLA,0.10216166305603155,180.0,94.09445028641548,83.68232162181879,291.56333414713544,83.68232162181879,8.807363942477496
2021-10-22,298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400,TSLA,0.11163316299468994,167.0,96.04513629626385,85.54391521050042,296.60888671875,85.54391521050042,7.987135857484997
2021-10-25,316.84332275390625,348.3399963378906,314.7333374023437,341.6199951171875,341.6199951171875,188556300,TSLA,0.10652911162825356,462.0,99.14758026351515,89.72007090669138,314.28221638997394,89.72007090669138,20.362538000042083
2021-10-26,341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000,TSLA,0.13381869556534737,238.0,93.0360452581944,92.7051008213604,328.10776774088544,92.7051008213604,23.963921003934303
2021-10-27,346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500,TSLA,0.1200614861432967,177.0,94.55684384012282,94.69512076447309,342.34999593098956,94.69512076447309,21.803726470070785
2021-10-28,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600,TSLA,0.10002960226413798,125.0,96.72205131542722,96.07692736671737,348.1477762858073,96.07692736671737,19.329152607651356
2021-10-29,360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,371.3333435058594,89755200,TSLA,0.1047579251691591,189.0,97.9026090707346,97.14794066256754,358.7666727701823,97.14794066256754,17.552768405100903
2021-11-01,381.6666564941406,403.25,372.88665771484375,402.86334228515625,402.86334228515625,168146100,TSLA,0.11554731355176073,261.0,99.11969648437504,98.0078341839094,377.73667399088544,98.0078341839094,22.340731101447478
2021-11-02,386.4533386230469,402.86334228515625,382.0,390.6666564941406,390.6666564941406,128213400,TSLA,0.08104426407384677,205.0,74.15217549489756,98.58109653147064,388.28778076171875,98.58109653147064,21.848268162683734
2021-11-03,392.4433288574219,405.1300048828125,384.2066650390625,404.6199951171875,404.6199951171875,103885500,TSLA,0.10675291067439505,130.0,81.95309441017304,98.97150682077965,399.3833312988281,98.97150682077965,21.53995872303916
2021-11-04,411.4700012207031,414.4966735839844,405.6666564941406,409.9700012207031,409.9700012207031,76192200,TSLA,0.11654294946912395,149.0,84.62229229337377,99.26149226621799,401.75221761067706,99.26149226621799,17.652198637625066
2021-11-05,409.3333435058594,413.2900085449219,402.6666564941406,407.36334228515625,407.36334228515625,64886400,TSLA,0.12764056935054124,89.0,76.36747185573427,89.6349903347571,407.3177795410156,89.6349903347571,15.309249775343794
2021-11-08,383.2633361816406,399.0,377.6666564941406,387.6466674804688,387.6466674804688,100337100,TSLA,0.08698806143506604,217.0,36.248332828341766,73.11094689749346,401.6600036621094,73.11094689749346,20.105061780567738
2021-11-09,391.2000122070313,391.5,337.17333984375,341.1666564941406,341.1666564941406,177317400,TSLA,0.07951425921139851,201.0,12.684605980164342,74.3148473055361,378.7255554199219,74.3148473055361,31.51226123912849
2021-11-10,336.8033447265625,359.3666687011719,329.10333251953125,355.9833374023437,355.9833374023437,128408100,TSLA,0.08936217379768965,189.0,33.38955781713718,76.31684022544579,361.59888712565106,76.31684022544579,31.095952886632535
2021-11-11,367.5899963378906,368.3233337402344,351.5599975585937,354.5033264160156,354.5033264160156,67189800,TSLA,0.12474685229383078,151.0,32.24394758678306,65.3492813562974,350.5511067708333,65.3492813562974,26.318413984968583
2021-11-12,349.1666564941406,351.5,339.7333374023437,344.47332763671875,344.47332763671875,76719300,TSLA,0.11000744688486935,129.0,23.905983346520028,63.4783108126428,351.65333048502606,63.4783108126428,22.46893899453637
2021-11-15,339.2099914550781,343.99334716796875,326.20001220703125,337.7966613769531,337.7966613769531,104326800,TSLA,0.07566822434372103,151.0,19.000095168364144,66.67549072755688,345.5911051432292,66.67549072755688,21.070397806253414
2021-11-16,334.4366760253906,352.3999938964844,334.0599975585937,351.57666015625,351.57666015625,79627200,TSLA,0.10915112969861032,129.0,50.46843593020034,55.20357277387429,344.6155497233073,55.20357277387429,20.160263983465835
2021-11-17,354.5033264160156,373.21331787109375,351.8333435058594,363.0033264160156,363.0033264160156,94336200,TSLA,0.1147660480314541,113.0,66.60553459204047,46.631671731739736,350.79221598307294,46.631671731739736,20.652395227258474
2021-11-18,368.8500061035156,370.6666564941406,358.3399963378906,365.4599914550781,365.4599914550781,62696700,TSLA,0.06388970073377626,128.0,69.7805618571056,40.917071036983366,360.01332600911456,40.917071036983366,17.877150203588982
2021-11-19,366.2900085449219,379.5733337402344,364.23333740234375,379.0199890136719,379.0199890136719,64926900,TSLA,0.10702305771614715,123.0,83.09105935665674,44.3963306271444,369.1611022949219,44.3963306271444,17.031432248356197
2021-11-22,387.4433288574219,400.6499938964844,377.4766540527344,385.6233215332031,385.6233215332031,99217500,TSLA,0.13137518021932623,124.0,87.20704312660584,55.21231816828205,376.7011006673177,55.21231816828205,19.078734780154132
2021-11-23,389.1700134277344,393.5,354.2333374023437,369.6766662597656,369.6766662597656,108515100,TSLA,0.12565684337708147,126.0,46.34311190077263,38.564107253510954,378.1066589355469,38.564107253510954,25.80804405265486
2021-11-24,360.1300048828125,377.5899963378906,354.0,372.0,372.0,67680600,TSLA,0.07549046711036507,98.0,51.32743377868763,27.68455215629309,375.76666259765625,27.68455215629309,25.068694814400118
