Date,sentiment_score
2021-09-30,0.13776846190075356
2021-10-01,0.12417933410536469
2021-10-02,0.15153041659086244
2021-10-03,0.15488534234435875
2021-10-04,0.09713516972445543
2021-10-05,0.10685283844942935
2021-10-06,0.1648366525449859
2021-10-07,0.13713690169410722
2021-10-08,0.12631749017122282
2021-10-09,0.22361394826238576
2021-10-10,0.11277591245559995
2021-10-11,0.11952436624814591
2021-10-12,0.11338882142388637
2021-10-13,0.10785107851918196
2021-10-14,0.10163569102237327
2021-10-15,0.104646174183146
2021-10-16,0.1277018191080691
2021-10-17,0.1347620443379372
2021-10-18,0.13320404414154413
2021-10-19,0.09753234674551639
2021-10-20,0.11084141953193677
2021-10-21,0.10216166305603155
2021-10-22,0.11163316299468994
2021-10-23,0.08179581529581531
2021-10-24,0.21766210872460873
2021-10-25,0.10652911162825356
2021-10-26,0.13381869556534737
2021-10-27,0.1200614861432967
2021-10-28,0.10002960226413798
2021-10-29,0.1047579251691591
2021-10-30,0.1394922831971704
2021-10-31,0.22016907965104213
2021-11-01,0.11554731355176073
2021-11-02,0.08104426407384677
2021-11-03,0.10675291067439505
2021-11-04,0.11654294946912395
2021-11-05,0.12764056935054124
2021-11-06,0.09481320026388834
2021-11-07,0.08124774538998678
2021-11-08,0.08698806143506604
2021-11-09,0.07951425921139851
2021-11-10,0.08936217379768965
2021-11-11,0.12474685229383078
2021-11-12,0.11000744688486935
2021-11-13,0.1560567763556894
2021-11-14,0.1333373814085021
2021-11-15,0.07566822434372103
2021-11-16,0.10915112969861032
2021-11-17,0.1147660480314541
2021-11-18,0.06388970073377626
2021-11-19,0.10702305771614715
2021-11-20,0.07421023119392685
2021-11-21,0.11646517255892255
2021-11-22,0.13137518021932623
2021-11-23,0.12565684337708147
2021-11-24,0.07549046711036507
2021-11-25,0.17541713238946846
2021-11-26,0.022013380935794732
2021-11-27,0.06896840747904578
2021-11-28,0.19601030598189692
2021-11-29,0.10052043508229076
2021-11-30,0.11313492759181079
2021-12-01,0.11022090911051509
2021-12-02,0.08792000464414257
2021-12-03,0.09273481302647969
2021-12-04,0.0997695662861104
2021-12-05,0.15960970440590005
2021-12-06,0.11259515918887684
2021-12-07,0.11427085943442163
2021-12-08,0.1311497989347254
2021-12-09,0.08798952967031239
2021-12-10,0.10221026011450324
2021-12-11,0.09737578670677262
2021-12-12,0.1300302187373266
2021-12-13,0.11324708675294613
2021-12-14,0.07557448562558995
2021-12-15,0.11519512099084162
2021-12-16,0.08648839454486384
2021-12-17,0.10362797954923232
2021-12-18,0.11167129745254746
2021-12-19,0.15416086889301175
2021-12-20,0.07901796796159541
2021-12-21,0.1221214172537702
2021-12-22,0.08373758975555383
2021-12-23,0.11687730934890025
2021-12-24,0.1847434946314841
2021-12-25,0.19750962957497048
2021-12-26,0.17161808502474624
2021-12-27,0.12393255254334187
2021-12-28,0.13413372457568887
2021-12-29,0.08180035107209169
2021-12-30,0.07480501296354954
2021-12-31,0.09668633693780178
2022-01-01,0.1926383660622791
2022-01-02,0.14586448833190355
2022-01-03,0.09812818013725412
2022-01-04,0.09630142116009463
2022-01-05,0.11995113081963732
2022-01-06,0.11122199302754858
2022-01-07,0.11503018777668661
2022-01-08,0.13106877317478582
2022-01-09,0.1600585161012457
2022-01-10,0.10310609371779014
2022-01-11,0.08343863996438128
2022-01-12,0.10023405066466821
2022-01-13,0.058500572974330985
2022-01-14,0.1010186677772677
2022-01-15,0.11201800895863395
2022-01-16,0.09982014166389166
2022-01-17,0.12949199976977754
2022-01-18,0.08745691720597024
2022-01-19,0.06474487924982975
2022-01-20,0.11493508516946016
2022-01-21,0.09321411517087617
2022-01-22,0.13344181497514832
2022-01-23,0.11009854103091807
2022-01-24,0.06167974680017363
2022-01-25,0.09928465284224308
2022-01-26,0.10907253165502143
2022-01-27,0.10877290924819442
2022-01-28,0.11376990010880385
2022-01-29,0.10789587056987626
2022-01-30,0.13102738696488697
2022-01-31,0.12128466448027517
2022-02-01,0.1141382465000886
2022-02-02,0.08861015599947891
2022-02-03,0.11187732864357863
2022-02-04,0.13395581327680092
2022-02-05,0.14144304124409757
2022-02-06,0.15600708519174428
2022-02-07,0.04322616548444861
2022-02-08,0.14778330518387336
2022-02-09,0.10171792198462457
2022-02-10,0.10041077794754265
2022-02-11,0.07993825945846147
2022-02-12,0.10699700538410216
2022-02-13,0.11558069985569987
2022-02-14,0.13924426460884795
2022-02-15,0.17454451474977042
2022-02-16,0.10123570426487093
2022-02-17,0.1100927679573513
2022-02-18,0.10806628065051778
2022-02-19,0.16239590564590564
2022-02-20,0.1144586465655014
2022-02-21,0.06851786000595524
2022-02-22,0.13270366342575082
2022-02-23,0.06765163088388969
2022-02-24,0.033983069123399316
2022-02-25,0.10062900669458047
2022-02-26,0.068732782369146
2022-02-27,0.17430554463999404
2022-02-28,0.09121886475324986
2022-03-01,0.1102796316337983
2022-03-02,0.11281398264054257
2022-03-03,0.0816437389770723
2022-03-04,0.12382877908078174
2022-03-05,0.10114383632240775
2022-03-06,0.17861468324703617
2022-03-07,0.06959647137474519
2022-03-08,0.08687433624314812
2022-03-09,0.11790148334116357
2022-03-10,0.04203559706710967
2022-03-11,0.07798097169772703
2022-03-12,0.1166491077904808
2022-03-13,0.1976870842572062
2022-03-14,0.07768939339465555
2022-03-15,0.07808381620250307
2022-03-16,0.1313990074965685
2022-03-17,0.14716373501327204
2022-03-18,0.13500651770316405
2022-03-19,0.15958485414367768
2022-03-20,0.1036229994752722
2022-03-21,0.09748689395154042
2022-03-22,0.12949289409258283
